timeStamp,averageExecutionTime,medianOfFlowDuration,maxFlowDuration,flowDurationList,avgCpuByProcess,medianOfCpuByProcess,maxCpuByProcess,cpuByProcessList,avgDiskByProcess,medianOfDiskByProcess,maxDiskByProcess,diskByProcessList,avgMemByProcess,medianOfMemByProcess,maxMemByProcess,memByProcessList,percentageHeap,medianOfHeap,maxHeap,percentHeapList,percentageWorkerThreads,medianOfWorkerThreads,maxWorkerThreads,percentWorkerThreadsList,avgInBufferSize,medianOfInBuffer,maxInBuffer,inBufferSizeList,percentageOutBuffer,medianOfOutBuffer,maxOutBuffer,percentOutBufferList,avgSystemCpuJmx,medianOfSystemCpu,maxSystemCpu,systemCpuJmxList
Jan 12-- 2021 8:21:15 AM,14058.2,15868,16397,15868;16397;11472;16130;10424;,0.181681073,0.182,0.182,0.18168107270213643;,4646549936,4.65E+09,4646549936,4646549936;,53,53,53,53.0;,0.27398728,0.274,0.274,0.27398727970322584;,33,33,33,33.0;,0,0,0,0;,0.506666667,0.507,0.507,0.5066666666666666;,0.184241922,0.184,0.184,0.18424192227054004;
Jan 12-- 2021 8:23:37 AM,12882,13423,14282,12516;14282;13423;13876;10313;,0.354364417,0.339,0.528,0.5282537996251839;0.339437782412235;0.195401669017802;,4684234058,4.68E+09,4686083696,4686083696;4683516504;4683101975;,53,53,53,53.0;53.0;53.0;,0.545022912,0.553,0.671,0.5530967379793347;0.6709211007383005;0.411050896796899;,34.66666667,35,35,34.0;35.0;35.0;,9.666666667,1,28,0;28;1;,1.44,1.187,2.867,0.26666666666666666;2.8666666666666667;1.1866666666666665;,0.356194952,0.337,0.534,0.5336631787260637;0.33728813909992217;0.1976335373287825;
Jan 12-- 2021 8:25:38 AM,11288,12423,13250,12423;12672;13250;8110;9985;,0.222650389,0.223,0.223,0.22265038901260317;,4720261758,4.72E+09,4720261758,4720261758;,53,53,53,53.0;,0.718338393,0.718,0.718,0.7183383931810243;,35,35,35,35.0;,3,3,3,3;,2.746666667,2.747,2.747,2.7466666666666666;,0.224340882,0.224,0.224,0.22434088163420363;
Jan 12-- 2021 8:27:53 AM,13353.6,13000,14704,12095;13000;14578;14704;12391;,0.387211907,0.387,0.551,0.551300568319277;0.22312324540658515;,4761188001,4.76E+09,4762441748,4762441748;4759934253;,53,53,53,53.0;53.0;,0.236930288,0.237,0.328,0.32811800181942574;0.14574257391231865;,36,36,36,36.0;36.0;,3,3,6,0;6;,0.78,0.78,0.947,0.6133333333333334;0.9466666666666667;,0.390372784,0.39,0.556,0.5559524385052964;0.22479312872852364;
Jan 12-- 2021 8:30:21 AM,14042.4,15074,15212,15212;15079;15074;12164;12683;,0.208300107,0.208,0.208,0.2083001066276216;,4799876833,4.80E+09,4799876833,4799876833;,53,53,53,53.0;,0.544938992,0.545,0.545,0.5449389922853902;,37,37,37,37.0;,9,9,9,9;,1.12,1.12,1.12,1.1199999999999999;,0.210501234,0.211,0.211,0.21050123424567857;
Jan 12-- 2021 8:33:03 AM,19282,21196,22700,21196;22606;22700;18705;11203;,0.508414285,0.521,0.779,0.5288963874599645;0.5213604910907653;0.7788498742140465;0.49598318753074905;0.21698148478342139;,4838772566,4.84E+09,4841953196,4841953196;4839825148;4838434991;4837417335;4836232160;,53,53,53,53.0;53.0;53.0;53.0;53.0;,0.502420724,0.509,0.573,0.5086339442856759;0.49103721188886706;0.5406038317463868;0.5730048214695782;0.3988238126112729;,39,39,40,38.0;39.0;40.0;39.0;39.0;,13,13,24,0;15;13;24;13;,0.954666667,0.773,1.76,1.0933333333333333;1.76;0.7733333333333333;0.5333333333333333;0.6133333333333334;,0.515203174,0.521,0.791,0.5319882045498149;0.5212664840887672;0.7906317389297441;0.5130095341399619;0.2191199085974297;
Jan 12-- 2021 8:35:09 AM,15428,15395,16336,16336;15424;14762;15223;15395;,0.419131959,0.421,0.62,0.33099837307679664;0.6197977233180422;0.5104383934079039;0.21529334446085246;,4882889658,4.88E+09,4884396896,4884396896;4883453554;4882551237;4881156945;,53,53,53,53.0;53.0;53.0;53.0;,0.634230534,0.628,0.727,0.5848458078628594;0.6711620460412291;0.5536446123427252;0.7272696711853582;,39.25,39,40,39.0;39.0;40.0;39.0;,15.5,14.5,26,7;14;26;15;,1.573333333,1.28,2.827,1.04;1.52;2.8266666666666667;0.9066666666666667;,0.423855103,0.422,0.633,0.33200328333746176;0.6328372038796908;0.5128417470576786;0.2177381762146725;
Jan 12-- 2021 8:38:09 AM,42188.2,60623,62362,62362;61215;60623;13132;13609;,0.351964965,0.352,0.51,0.5096047613922451;0.1943251687982603;,4917977308,4.92E+09,4919022867,4919022867;4916931748;,53,53,53,53.0;53.0;,0.728501351,0.729,0.76,0.6967813754524056;0.7602213256595878;,40.5,40.5,41,41.0;40.0;,22.5,22.5,27,27;18;,1.846666667,1.847,2.653,2.6533333333333333;1.04;,0.355123915,0.355,0.514,0.5138964132279289;0.19635141752590124;
Jan 12-- 2021 8:41:13 AM,14162.6,14143,14962,14375;14962;13600;14143;13733;,0.3583564,0.364,0.553,0.5530678210018324;0.36423875790745586;0.1577626216760157;,4957287581,4.96E+09,4958670937,4958670937;4957575887;4955615918;,53,53,53,53.0;53.0;53.0;,0.390208635,0.383,0.462,0.4624511117788462;0.3256104203878621;0.3825643729882116;,41.33333333,41,42,41.0;41.0;42.0;,0,0,0,0;0;0;,1.84,1.107,3.333,1.08;1.1066666666666667;3.3333333333333335;,0.360345601,0.366,0.556,0.5555899180540642;0.3664549361781373;0.15899194970922403;
Jan 12-- 2021 8:44:46 AM,17244,17107,19296,14753;16345;19296;18719;17107;,0.349110066,0.349,0.52,0.5199285413562635;0.17829159107895742;,4996418144,5.00E+09,4997945373,4997945373;4994890914;,53,53,53,53.0;53.0;,0.547786652,0.548,0.695,0.6945101189544474;0.40106318518290207;,43,43,43,43.0;43.0;,3,3,6,0;6;,2.886666667,2.887,3.187,3.186666666666667;2.5866666666666664;,0.355003818,0.355,0.53,0.5296216954709777;0.1803859410094636;
Jan 12-- 2021 8:47:58 AM,52194.4,60786,61510,61204;60344;60786;61510;17128;,0.318794083,0.274,0.62,0.06264744295219195;0.6199861378461493;0.27374866918494434;,5026433387,5.03E+09,5028698064,5028698064;5025737891;5024864207;,53,53,53,53.0;53.0;53.0;,0.67460581,0.677,0.692,0.6769307395008123;0.6551793918676518;0.6917072999820039;,44,44,45,43.0;44.0;45.0;,19.33333333,29,29,0;29;29;,1.017777778,0.467,2.36,0.22666666666666668;2.36;0.46666666666666673;,0.325363608,0.278,0.631,0.06729266070677864;0.6305608234629068;0.278237338694729;
Jan 12-- 2021 8:51:11 AM,11994.4,12594,12970,12173;12594;12970;12813;9422;,0.219069671,0.219,0.219,0.2190696705911481;,5071591317,5.07E+09,5071591317,5071591317;,53,53,53,53.0;,0.447426179,0.447,0.447,0.44742617888987996;,44,44,44,44.0;,0,0,0,0;,0.44,0.44,0.44,0.44;,0.221265193,0.221,0.221,0.22126519273645207;
Jan 12-- 2021 9:02:14 AM,17607,17939,19454,17313;17939;19454;18704;14625;,0.175126949,0.175,0.175,0.17512694865862571;,5185546163,5.19E+09,5185546163,5185546163;,53,53,53,53.0;,0.450220932,0.45,0.45,0.4502209322299341;,47,47,47,47.0;,0,0,0,0;,0.28,0.28,0.28,0.27999999999999997;,0.177476713,0.177,0.177,0.17747671256139552;
Jan 12-- 2021 9:05:40 AM,12006.4,12859,14641,13110;12344;12859;14641;7078;,0.340149313,0.34,0.513,0.5128723326769732;0.16742629393596903;,5222897800,5.22E+09,5223812190,5223812190;5221983410;,53,53,53,53.0;53.0;,0.421569222,0.422,0.477,0.47735713439247185;0.36578130997674313;,49,49,50,50.0;48.0;,2.5,2.5,3,3;2;,1.586666667,1.587,1.867,1.3066666666666666;1.866666666666667;,0.340037358,0.34,0.512,0.5115037412425898;0.16857097389653197;
Jan 12-- 2021 9:09:15 AM,33760,17158,62426,15252;16103;17158;57861;62426;,0.402573933,0.403,0.625,0.625417147799172;0.1797307184453367;,5263514662,5.26E+09,5264049879,5264049879;5262979444;,53,53,53,53.0;53.0;,0.631584037,0.632,0.712,0.5509211183275328;0.7122469556169719;,50,50,50,50.0;50.0;,17.5,17.5,25,10;25;,1.04,1.04,1.44,1.44;0.64;,0.404715617,0.405,0.628,0.6275456145433516;0.18188561871354092;
Jan 12-- 2021 9:13:09 AM,83694.2,83773,86353,83319;83773;84267;80759;86353;,0.415252276,0.288,0.674,0.6737347732572571;0.2754346699112081;0.287997463779135;0.6361043072885383;0.20299016360143077;,5297451645,5.30E+09,5301482152,5301482152;5298939205;5296536504;5296097373;5294202992;,53,53,53,53.0;53.0;53.0;53.0;53.0;,0.706862947,0.769,0.899,0.42379585436822625;0.7849806336743848;0.7694962474673375;0.8993375067824346;0.6567044911829482;,51.2,52,52,50.0;50.0;52.0;52.0;52.0;,21.6,11,44,7;7;39;44;11;,2.08,1.773,4.72,0.0;0.6799999999999999;1.7733333333333334;3.2266666666666666;4.72;,0.420845066,0.299,0.673,0.6733370491298392;0.28239176658242804;0.2990061860319233;0.6440292065585064;0.20546112197196653;
Jan 12-- 2021 9:17:49 AM,58416.4,58931,61310,60222;58931;61310;55505;56114;,0.405444861,0.466,0.534,0.43304004277895525;0.4993542291912847;0.5335119296683146;0.1558732408568931;,5346869463,5.35E+09,5352233869,5352233869;5347596064;5345496727;5342151192;,53,53,53,53.0;53.0;53.0;53.0;,0.471161983,0.47,0.607,0.6069832092075;0.3373183448158108;0.5612650636104165;0.379081314655266;,52,52,53,51.0;53.0;53.0;51.0;,17.75,13,36,9;17;36;9;,1.326666667,0.833,3.227,0.41333333333333333;0.5866666666666667;3.2266666666666666;1.08;,0.410016317,0.47,0.542,0.4375760021026882;0.503182704748947;0.5416358709772611;0.15767069172001646;
Jan 12-- 2021 10:18:51 PM,35007.4,29186,58378,28049;58378;29186;28525;30899;,0.56065372,0.515,0.96,0.09794616017101491;0.4158501542725446;0.41940873371368964;0.4525301178196105;0.5766662719216891;0.8603699649846231;0.9544038599962654;0.8676381742086255;0.9601943366985178;0.0015294232821501973;,5384035812,5.38E+09,5389945602,5389945602;5387559324;5385832970;5385069995;5383696261;5382338872;5382157971;5381386804;5381185423;5381184902;,53,53,53,53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;,0.254000009,0.261,0.364,0.24298550070534183;0.17532211981337073;0.27904576102017564;0.35826753799589683;0.3464745619132328;0.10043691847737755;0.36363194460820075;0.28939674664055515;0.19012106181558136;0.19431793408733408;,51.6,51,53,51.0;52.0;53.0;53.0;52.0;51.0;51.0;51.0;51.0;51.0;,20.2,20.5,34,5;11;17;23;14;18;23;28;29;34;,2.082666667,1.147,6.773,1.4933333333333334;2.7733333333333334;3.36;6.773333333333334;3.2;0.4933333333333333;0.8;0.6799999999999999;0.7066666666666667;0.5466666666666666;,0.564725254,0.517,0.979,0.09965099487528839;0.4172171234660301;0.4155531337532571;0.45397194310157907;0.5792101411140622;0.864120647530699;0.9794118975767542;0.8691190061037304;0.9665048691359114;0.0024927874742933787;
Jan 12-- 2021 10:22:20 PM,56429.6,56122,58663,55017;55605;56122;56741;58663;,0.511960407,0.561,0.663,0.5619555996014052;0.66308807584312;0.60419911133782;0.41734958284917206;0.550118688466707;0.5611306003191261;0.22588119337438287;,5429595896,5.43E+09,5434805854,5434805854;5431267651;5430955665;5429401460;5428609787;5427186836;5424944022;,53,53,53,53.0;53.0;53.0;53.0;53.0;53.0;53.0;,0.425560205,0.389,0.588,0.35611662022103624;0.5875068663143057;0.552147722079917;0.3593863374887833;0.3171143198439184;0.3893352365372892;0.417314329878052;,52.14285714,53,55,52.0;53.0;53.0;53.0;55.0;53.0;46.0;,14.71428571,12,26,10;11;26;21;23;12;0;,1.984761905,1.8,3.333,0.44;3.1466666666666665;2.6933333333333334;1.7999999999999998;1.586666666666667;3.3333333333333335;0.8933333333333333;,0.51675864,0.564,0.663,0.5643019665337569;0.6630461130329722;0.6152653488710631;0.41731921195361843;0.5542446640076844;0.5745009749264292;0.22863220186322764;
Jan 12-- 2021 10:26:13 PM,31929,20827,78415,20646;20827;16936;22821;78415;,0.523899935,0.609,0.715,0.6507120104986146;0.5673126264728948;0.715174022401953;0.16240107920067326;,5470968727,5.47E+09,5473860917,5473860917;5471383902;5469735476;5468894612;,53,53,53,53.0;53.0;53.0;53.0;,0.627349778,0.596,0.752,0.7521110493387427;0.5662295324770864;0.5997568478403881;0.5913016812396882;,53.25,53,54,53.0;53.0;53.0;54.0;,17.25,17,18,17;17;17;18;,0.993333333,0.92,1.507,0.72;1.5066666666666668;0.6266666666666667;1.1199999999999999;,0.531548567,0.619,0.724,0.668051560794509;0.5696709876931163;0.7242871006508567;0.1641846173143;
Jan 12-- 2021 10:31:54 PM,127483.4,127251,130084,126295;128320;127251;130084;125467;,0.550158737,0.609,0.916,0.6301528115875035;0.5745839534949215;0.6094090127980402;0.03020469074567816;0.8857942104717563;0.9155514667359497;0.20541501517377703;,5513043449,5.51E+09,5519651689,5519651689;5515686656;5514591645;5511344544;5510852126;5510642501;5508534985;,53,53,53,53.0;53.0;53.0;53.0;53.0;53.0;53.0;,0.51701971,0.353,0.902,0.2972619702383866;0.16186768905791543;0.26286588942340017;0.35295663185307546;0.765832597670941;0.9022138544752778;0.876139339169704;,54.71428571,54,57,54.0;55.0;55.0;57.0;54.0;54.0;54.0;,13.85714286,11,21,7;8;11;10;20;21;20;,0.902857143,0.587,2.72,0.5866666666666667;2.7199999999999998;0.9733333333333334;0.4266666666666667;0.38666666666666666;0.64;0.5866666666666667;,0.558824881,0.624,0.928,0.6370179558966442;0.5952088244988871;0.6238447634157125;0.030780790274504644;0.8887208779132818;0.9281920418246314;0.20800891388009835;
Jan 12-- 2021 10:37:48 PM,175371.8,204541,207241,127985;131038;204541;206054;207241;,0.644957976,0.666,1,0.4629539106931656;0.41785256211899713;0.6815875386402283;0.5228434062801942;0.6509393612211671;0.5388958719529211;0.020853619559119373;0.8721824187691598;1.0;0.8796627424353322;0.9083922867204833;0.9378936605012999;0.9361924243377773;0.199161863296985;,5560631465,5.56E+09,5568376567,5568376567;5565174522;5564386971;5564009306;5563217633;5562290662;5560511125;5560104736;5559932053;5558447584;5556635227;5555704199;5555351136;5554698792;,53,53,53,53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;,0.480063371,0.478,0.605,0.5457960807142676;0.48292041564592675;0.5658496894653635;0.4631110556700629;0.35710979357607153;0.46160697784583293;0.6050735072431085;0.316593755581729;0.37123391362704483;0.6002941178501503;0.5331472477574987;0.47322587636120694;0.4551542383790567;0.48977052004588006;,55.5,55,57,55.0;56.0;57.0;57.0;56.0;56.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;55.0;,18.92857143,21,35,9;12;14;14;23;35;11;21;21;21;21;21;21;21;,2.200952381,0.88,6.827,0.5066666666666666;3.32;3.3333333333333335;5.333333333333334;5.413333333333333;6.826666666666667;0.6533333333333333;0.8;0.96;0.48;0.6133333333333334;0.6666666666666667;0.7066666666666667;1.2;,0.650252857,0.679,0.998,0.46786906816877516;0.4144280888938372;0.6991040590986322;0.525222873096409;0.6580209777014112;0.5493162499441344;0.021687879527427678;0.8920463417282462;0.9977272587108368;0.8808425269468291;0.9083974164651614;0.9395167355609317;0.9479169722204297;0.2014435510989846;
Jan 12-- 2021 10:43:25 PM,127900.8,127188,130417,127188;130417;129869;125703;126327;,0.688727519,0.852,0.999,0.5876679338360592;0.7261053975094892;0.4671844088654882;0.030549048355699243;0.9990943249907732;0.8883263593791946;0.9485663436319632;0.9811582761873878;0.8521455530410661;0.9166559687523019;0.17854909098652536;,5606342156,5.61E+09,5611972264,5611972264;5610188579;5609360016;5607264801;5605403201;5605332996;5604828277;5604212862;5604023769;5603855182;5603321765;,53,53,53,53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;,0.679425015,0.683,0.815,0.5968609749721188;0.8149942865739065;0.7274998541442038;0.6491850259000967;0.7199332343103317;0.7843122431853261;0.557068945141552;0.6827439002425774;0.734658460989906;0.6596577652673593;0.546760477439064;,56.27272727,56,57,57.0;57.0;57.0;56.0;56.0;56.0;56.0;56.0;56.0;56.0;56.0;,20.54545455,25,25,13;12;15;11;25;25;25;25;25;25;25;,1.300606061,0.747,3.467,2.52;3.0;3.4666666666666663;0.38666666666666666;0.7466666666666667;0.6799999999999999;0.9733333333333334;0.52;0.6133333333333334;0.7466666666666667;0.6533333333333333;,0.692542128,0.858,1,0.6016789201349885;0.724409975731287;0.4707214608422634;0.03181480131647019;1.0;0.888334188651063;0.9525321262569493;0.9863014551317643;0.8575276806982979;0.9240205259408424;0.18062227525984065;
Jan 12-- 2021 10:51:12 PM,136904.4,136575,138973,136898;136493;135583;136575;138973;,0.700160516,0.821,0.991,0.5459638750305041;0.5912888285429023;0.3257865751662955;0.5709272755830316;0.8207987836755689;0.44481651134674083;0.5237772843097934;0.6547530540293772;0.01565970457632238;0.9834253935966616;0.966725388732073;0.9593657900884152;0.9091086354895402;0.9111945707279483;0.9538975373588301;0.9909522328235767;0.9878526709511679;0.9675395030345577;0.17921619393240956;,5651162526,5.65E+09,5659250070,5659250070;5657995211;5656719781;5654989383;5654017343;5653307629;5652388876;5651466079;5650223443;5649936007;5649935486;5649139717;5648745655;5648290088;5647359047;5647358526;5647358005;5647357484;5646250172;,53,53,53,53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;,0.381353805,0.391,0.585,0.5852024590091103;0.40144621119420537;0.47602915626074666;0.46390321092345305;0.4616011136922065;0.3907700470628628;0.3505748368762164;0.5336199291939748;0.2601544483824069;0.47808745461357754;0.2472926821579567;0.40829364686175684;0.34257007446326554;0.3539348886210993;0.3095072926131343;0.25038965064359;0.24708449524657528;0.23202563443531973;0.4532350677204883;,57.15789474,57,58,57.0;57.0;58.0;58.0;58.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;,25.10526316,29,47,13;13;16;17;35;13;13;13;25;40;29;47;29;29;29;29;29;29;29;,1.246315789,0.76,5.053,0.64;1.1466666666666667;5.053333333333334;0.9333333333333335;3.44;1.52;2.9066666666666667;1.1199999999999999;0.8133333333333332;0.76;1.0133333333333332;0.76;0.64;0.52;0.5333333333333333;0.5599999999999999;0.0;0.6533333333333333;0.6666666666666667;,0.711885451,0.818,0.997,0.542022009836653;0.6076171050059942;0.3217957490962257;0.5765850465099831;0.818083799250406;0.4448239635435649;0.5246185115504096;0.6611029036781069;0.016281914586488977;0.9894579014655105;0.9798388865749307;0.9862501159988866;0.9476395314332877;0.9724491403122748;0.9895830031647421;0.9967930348452312;0.9889005317870655;0.9807694011819218;0.18121102172759695;
Jan 12-- 2021 10:55:33 PM,122705.2,123120,124349,121226;121081;123120;123750;124349;,0.680321949,0.78,0.998,0.48705278793722384;0.5418596322064414;0.7051383774612924;0.7802041739532717;0.6170599383247393;0.795236602618646;0.01857740942626143;0.9984655569126367;0.9161498845552366;0.9911698285843016;0.9218665188280268;0.901780531808209;0.1696240902134549;,5703457951,5.70E+09,5712242277,5712242277;5709126378;5706371148;5705706516;5704406536;5703155734;5702454264;5701691315;5701600604;5700804770;5699582718;5699225559;5698585542;,53,53,53,53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;,0.612368161,0.628,0.769,0.6468041500198507;0.5243929297481635;0.5652940900254319;0.7685798455317697;0.6278240329430615;0.7181696776368868;0.6808338318865274;0.7286579327916058;0.6897730895350617;0.4672789275407923;0.4579984799187769;0.545392934062099;0.5397861734775811;,57.92307692,57,60,58.0;58.0;59.0;60.0;60.0;59.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;,29.76923077,23,45,16;16;19;23;20;17;21;36;41;43;45;45;45;,1.456410256,0.827,3.56,0.7733333333333333;3.56;3.32;2.933333333333333;2.533333333333333;0.5466666666666666;0.4;0.72;0.9333333333333335;0.7333333333333333;0.9199999999999999;0.8266666666666667;0.7333333333333333;,0.682846044,0.782,1,0.4920505577948424;0.5476217807315726;0.701967618128468;0.782119573598265;0.6210183055958294;0.7968944243961357;0.019738413536149024;1.0;0.9176836651923133;0.9941176864772445;0.9231777734311509;0.908163793083181;0.17244497536662215;
Jan 12-- 2021 11:01:17 PM,130065.6,129666,133110,127693;129666;129164;130695;133110;,0.693605407,0.741,0.992,0.6400488604133908;0.6758266490949226;0.79430309523763;0.5969874165501874;0.7241184420111132;0.7579860043023565;0.6764731994840535;0.04050138991814011;0.8798646449996156;0.8821056971598883;0.9386696106364493;0.9919822958820306;0.9213406954297547;0.19026770314916647;,5752366150,5.75E+09,5760479914,5760479914;5758741298;5756605045;5756534866;5755320941;5754500583;5753700744;5752433532;5749055216;5748673468;5747213614;5747004028;5746581307;5746281544;,53,53,53,53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;,0.327987454,0.305,0.457,0.4350606110072836;0.32062084774164074;0.3011634385158388;0.40262593229978966;0.3640500157750787;0.2792492556796289;0.420975725910056;0.45675667950190485;0.21032114799014623;0.23309090100991292;0.2650905020542769;0.3061010612477015;0.2919131912333614;0.30480504096012145;,58.28571429,58,61,59.0;59.0;59.0;61.0;60.0;60.0;59.0;57.0;57.0;57.0;57.0;57.0;57.0;57.0;,24.71428571,28,33,19;19;19;27;33;21;19;15;29;29;29;29;29;29;,1.222857143,0.807,2.907,0.36;2.9066666666666667;2.5466666666666664;2.666666666666667;0.8133333333333332;1.2;1.586666666666667;1.16;0.8;0.6;0.5466666666666666;0.6266666666666667;0.8;0.5066666666666666;,0.703256226,0.762,0.992,0.6569285513551942;0.697312883065301;0.8003474100873165;0.6046794736043501;0.7531583794290477;0.7717161446051627;0.6872906791349227;0.041689564520235534;0.8928577691983218;0.8841474344535467;0.9398590927670479;0.9919872394474366;0.9311802904641148;0.19243224730512287;
Jan 12-- 2021 11:09:43 PM,233506.2,233401,235501,232329;232809;233401;235501;233491;,0.772581238,0.906,0.995,0.7774858878360924;0.8034041420095981;0.24387917689555835;0.8200269928920167;0.7789942440545906;0.7672565809235193;0.7676049238081347;0.407001809550308;0.578472393082498;0.014786215477792675;0.9734656623616121;0.9305401943428906;0.9950195775672092;0.9088861854285705;0.9819304133098519;0.9365056840731586;0.9907187307733019;0.9071444827937811;0.9847270010558489;0.9159730857690405;0.9819264966530803;0.9206825281928556;0.9045873183098722;0.029351109522405903;0.9328304915775673;0.9936320360046855;0.9539220143384438;0.9019720595397885;0.8862851155599489;0.18842457136775123;,5796803022,5.80E+09,5809296181,5809296181;5807479155;5806958052;5806022902;5804739293;5804361615;5803414203;5801458317;5800674836;5799600305;5799267774;5798435089;5798041040;5796700100;5796326518;5795584023;5794739076;5793730107;5792717120;5792396864;5792117542;5791534934;5791440127;5790873942;5790037200;5789696412;5789695891;5789326444;5788879069;5788546525;,53,53,53,53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;,0.602081,0.619,0.796,0.5313703467595073;0.555769730786568;0.7339715348364337;0.7206360620522556;0.6490720981356185;0.7962545634708587;0.6345891257621907;0.6659801534767668;0.6198429635970566;0.7656465086436604;0.5883307990952887;0.711956924088066;0.5389379146672443;0.7363295115664525;0.5132541079219368;0.6225720347895518;0.5293941382916338;0.6694964839073149;0.430711484744306;0.49966156067692746;0.6790239141754987;0.4420118233495614;0.6175071117970645;0.4920545202481592;0.5416393378370375;0.6960625253598095;0.5930369355350008;0.669815138462933;0.39839641907739226;0.4191042215809333;,59.96666667,60,61,60.0;60.0;60.0;61.0;61.0;61.0;61.0;61.0;61.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;59.0;59.0;59.0;59.0;59.0;59.0;59.0;,22.96666667,20,33,19;19;19;21;25;20;27;20;32;19;20;20;20;20;20;20;20;20;20;20;20;20;20;19;33;31;32;31;31;31;,1.057333333,0.707,3.36,0.36;1.04;2.493333333333333;1.1199999999999999;2.533333333333333;3.32;0.9333333333333335;3.3466666666666667;3.36;0.38666666666666666;0.5333333333333333;0.46666666666666673;0.6933333333333334;0.6266666666666667;0.6799999999999999;0.3466666666666667;0.9333333333333335;0.72;0.8533333333333334;0.46666666666666673;0.7866666666666666;0.52;0.38666666666666666;0.9066666666666667;0.5466666666666666;0.4933333333333333;0.84;0.5866666666666667;0.96;0.48;,0.777518463,0.909,1,0.7905138779293795;0.815997986117642;0.2445246550303004;0.829218768429989;0.7733955793597995;0.7765958602122484;0.7764163938185973;0.39751395209142104;0.5847298713954553;0.016068537953243478;0.9769788946750986;0.9324471728244725;0.9988098004290471;0.9107343717280098;0.9886388008894574;0.954123897211404;1.0;0.9075767867954251;0.9864487302675886;0.9279571918487519;0.9895856090223777;0.9256493288491399;0.9096416920194749;0.030381159621905574;0.9330504431882128;0.9937507685754214;0.9573325616589834;0.9049125493098344;0.9005320628420475;0.1920266002300084;
Jan 24-- 2021 10:33:00 PM,10844.6,11033,13216,13216;11064;11033;9206;9704;,0.061992663,0.081,0.086,0.08094508353981597;0.08563677720806195;0.08079882212783636;5.899671250900701E-4;,124443541.5,1.24E+08,124444323,124444323;124443802;124443281;124442760;,19,19,19,19.0;19.0;19.0;19.0;,0.186950898,0.186,0.324,0.32397617302969883;0.22649151721836414;0.1449272737433749;0.05240862644692186;,2,2,2,2.0;2.0;2.0;2.0;,0,0,0,0;0;0;0;,2.036666667,2.027,2.08,2.013333333333333;2.0266666666666664;2.0266666666666664;2.08;,0.063043262,0.081,0.088,0.08801870242702747;0.08539926326392833;0.07683050109737866;0.001924580564853673;
Jan 24-- 2021 10:34:42 PM,10559,11436,12204,12204;11436;11833;10325;6997;,0.048837587,0.037,0.112,0.020529953397781;0.053652316426768855;0.11218917472097792;0.008978901720279665;,124448751.5,1.24E+08,124450054,124450054;124449012;124448491;124447449;,19,19,19,19.0;19.0;19.0;19.0;,0.173742937,0.19,0.235,0.23468240119730877;0.21122379118778642;0.1695282879721644;0.07953726567905328;,3,3,3,3.0;3.0;3.0;3.0;,0,0,0,0;0;0;0;,1.02,1.02,2.027,0.013333333333333334;0.02666666666666667;2.013333333333333;2.0266666666666664;,0.050544239,0.04,0.113,0.015383424531087209;0.06424050134340353;0.11285189861388967;0.009701131458709655;
Jan 24-- 2021 10:36:28 PM,10389.8,11349,11523,11523;11521;11349;8338;9218;,0.09424922,0.067,0.208,0.06731725121927877;0.2081948991871712;0.0072355089430496625;,124462921.3,1.24E+08,124464137,124464137;124462574;124462053;,19,19,19,19.0;19.0;19.0;,0.209634398,0.251,0.327,0.3269563871592053;0.05083202105622129;0.2511147866387468;,4,4,4,4.0;4.0;4.0;,0,0,0,0;0;0;,2.044444444,2.08,4.027,0.02666666666666667;2.08;4.026666666666666;,0.094037809,0.067,0.207,0.06653411642600093;0.20713345643582015;0.008445853950530324;
